Restaurant Name,Competitor,History,Year,Location,Official Rating,Price,Category,Elite Reviews Count,Recommended Reviews Count,(r) Average Rating,(r) 1 Stars Count,(r) 2 Stars Count,(r) 3 Stars Count,(r) 4 Stars Count,(r) 5 Stars Count,Not Recommended Reviews Count,(nr) Not Recommended Average Rating,(nr) 1 Stars Count,(nr) 2 Stars Count,(nr) 3 Stars Count,(nr) 4 Stars Count,(nr) 5 Stars Count
20 Feet Seafood Joint,7,1,2017,Arlington,4,2,Seafood,10,54,4.037037037,1,5,8,17,23,4,4.25,0,1,0,0,3
303 Bar and Grill,13,2,2007,Arlington,2.5,2,"Burgers,         Bars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303 Bar and Grill,13,2,2008,Arlington,2.5,2,"Burgers,         Bars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303 Bar and Grill,13,2,2009,Arlington,2.5,2,"Burgers,         Bars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303 Bar and Grill,13,2,2010,Arlington,2.5,2,"Burgers,         Bars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303 Bar and Grill,13,2,2011,Arlington,2.5,2,"Burgers,         Bars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303 Bar and Grill,13,2,2012,Arlington,2.5,2,"Burgers,         Bars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303 Bar and Grill,13,2,2013,Arlington,2.5,2,"Burgers,         Bars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303 Bar and Grill,13,2,2014,Arlington,2.5,2,"Burgers,         Bars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303 Bar and Grill,13,2,2015,Arlington,2.5,2,"Burgers,         Bars",10,50,2.76,9,16,9,10,6,14,3,3,3,0,7,1
303 Bar and Grill,13,2,2016,Arlington,2.5,2,"Burgers,         Bars",9,32,2.71875,6,8,9,7,2,4,2,1,2,1,0,0
303 Bar and Grill,13,2,2017,Arlington,2.5,2,"Burgers,         Bars",1,13,2.461538462,5,3,1,2,2,6,3.5,1,1,1,0,3
A Wok Express,2,3,2007,Arlington,5,1,Chinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Wok Express,2,3,2008,Arlington,5,1,Chinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Wok Express,2,3,2009,Arlington,5,1,Chinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Wok Express,2,3,2010,Arlington,5,1,Chinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Wok Express,2,3,2011,Arlington,5,1,Chinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Wok Express,2,3,2012,Arlington,5,1,Chinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Wok Express,2,3,2013,Arlington,5,1,Chinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Wok Express,2,3,2014,Arlington,5,1,Chinese,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0
A Wok Express,2,3,2015,Arlington,5,1,Chinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Wok Express,2,3,2016,Arlington,5,1,Chinese,0,3,5,0,0,0,0,3,0,0,0,0,0,0,0
A Wok Express,2,3,2017,Arlington,5,1,Chinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aamer Cafe Greek Mediterranian,1,4,2007,Arlington,4,1,Greek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aamer Cafe Greek Mediterranian,1,4,2008,Arlington,4,1,Greek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aamer Cafe Greek Mediterranian,1,4,2009,Arlington,4,1,Greek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aamer Cafe Greek Mediterranian,1,4,2010,Arlington,4,1,Greek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aamer Cafe Greek Mediterranian,1,4,2011,Arlington,4,1,Greek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aamer Cafe Greek Mediterranian,1,4,2012,Arlington,4,1,Greek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aamer Cafe Greek Mediterranian,1,4,2013,Arlington,4,1,Greek,1,2,4,0,0,0,2,0,2,4.5,0,0,0,1,1
Aamer Cafe Greek Mediterranian,1,4,2014,Arlington,4,1,Greek,1,3,3.666666667,0,0,1,2,0,2,3,1,0,0,0,1
Aamer Cafe Greek Mediterranian,1,4,2015,Arlington,4,1,Greek,1,5,4.8,0,0,0,1,4,0,0,0,0,0,0,0
Aamer Cafe Greek Mediterranian,1,4,2016,Arlington,4,1,Greek,1,5,3.6,1,0,1,1,2,1,5,0,0,0,0,1
Aamer Cafe Greek Mediterranian,1,4,2017,Arlington,4,1,Greek,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
Abocas Italian Grill,6,2,2007,Arlington,4,2,"Italian,         Sandwiches,         Gelato",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abocas Italian Grill,6,2,2008,Arlington,4,2,"Italian,         Sandwiches,         Gelato",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abocas Italian Grill,6,2,2009,Arlington,4,2,"Italian,         Sandwiches,         Gelato",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abocas Italian Grill,6,2,2010,Arlington,4,2,"Italian,         Sandwiches,         Gelato",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abocas Italian Grill,6,2,2011,Arlington,4,2,"Italian,         Sandwiches,         Gelato",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abocas Italian Grill,6,2,2012,Arlington,4,2,"Italian,         Sandwiches,         Gelato",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abocas Italian Grill,6,2,2013,Arlington,4,2,"Italian,         Sandwiches,         Gelato",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abocas Italian Grill,6,2,2014,Arlington,4,2,"Italian,         Sandwiches,         Gelato",0,1,4,0,0,0,1,0,1,5,0,0,0,0,1
Abocas Italian Grill,6,2,2015,Arlington,4,2,"Italian,         Sandwiches,         Gelato",2,13,3.923076923,1,2,0,4,6,3,2.666666667,1,1,0,0,1
Abocas Italian Grill,6,2,2016,Arlington,4,2,"Italian,         Sandwiches,         Gelato",3,16,4.375,0,1,1,5,9,3,4.666666667,0,0,0,1,2
Abocas Italian Grill,6,2,2017,Arlington,4,2,"Italian,         Sandwiches,         Gelato",0,6,3.166666667,0,3,1,0,2,0,0,0,0,0,0,0
Aderet,11,3,2007,Arlington,4.5,2,Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aderet,11,3,2008,Arlington,4.5,2,Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aderet,11,3,2009,Arlington,4.5,2,Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aderet,11,3,2010,Arlington,4.5,2,Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aderet,11,3,2011,Arlington,4.5,2,Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aderet,11,3,2012,Arlington,4.5,2,Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aderet,11,3,2013,Arlington,4.5,2,Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aderet,11,3,2014,Arlington,4.5,2,Restaurants,0,2,4,0,0,1,0,1,1,5,0,0,0,0,1
Aderet,11,3,2015,Arlington,4.5,2,Restaurants,0,2,5,0,0,0,0,2,1,5,0,0,0,0,1
Aderet,11,3,2016,Arlington,4.5,2,Restaurants,1,4,4.25,0,0,0,3,1,4,4.75,0,0,0,1,3
Aderet,11,3,2017,Arlington,4.5,2,Restaurants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghan Grill,1,5,2007,Arlington,4,2,"Afghan,         Middle Eastern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghan Grill,1,5,2008,Arlington,4,2,"Afghan,         Middle Eastern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghan Grill,1,5,2009,Arlington,4,2,"Afghan,         Middle Eastern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghan Grill,1,5,2010,Arlington,4,2,"Afghan,         Middle Eastern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghan Grill,1,5,2011,Arlington,4,2,"Afghan,         Middle Eastern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghan Grill,1,5,2012,Arlington,4,2,"Afghan,         Middle Eastern",1,7,4.285714286,0,0,0,5,2,1,4,0,0,0,1,0
Afghan Grill,1,5,2013,Arlington,4,2,"Afghan,         Middle Eastern",5,14,4.285714286,0,0,1,8,5,1,5,0,0,0,0,1
Afghan Grill,1,5,2014,Arlington,4,2,"Afghan,         Middle Eastern",4,20,3.95,1,1,4,6,8,3,3.333333333,1,0,0,1,1
Afghan Grill,1,5,2015,Arlington,4,2,"Afghan,         Middle Eastern",2,11,4.454545455,0,0,0,6,5,0,0,0,0,0,0,0
Afghan Grill,1,5,2016,Arlington,4,2,"Afghan,         Middle Eastern",2,15,4.4,1,0,1,3,10,4,2.25,2,0,1,1,0
Afghan Grill,1,5,2017,Arlington,4,2,"Afghan,         Middle Eastern",1,8,3.5,1,1,1,3,2,0,0,0,0,0,0,0
Ajumma Kimbob Deli,43,2,2007,Arlington,4.5,1,Korean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajumma Kimbob Deli,43,2,2008,Arlington,4.5,1,Korean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajumma Kimbob Deli,43,2,2009,Arlington,4.5,1,Korean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajumma Kimbob Deli,43,2,2010,Arlington,4.5,1,Korean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajumma Kimbob Deli,43,2,2011,Arlington,4.5,1,Korean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajumma Kimbob Deli,43,2,2012,Arlington,4.5,1,Korean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajumma Kimbob Deli,43,2,2013,Arlington,4.5,1,Korean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajumma Kimbob Deli,43,2,2014,Arlington,4.5,1,Korean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajumma Kimbob Deli,43,2,2015,Arlington,4.5,1,Korean,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0
Ajumma Kimbob Deli,43,2,2016,Arlington,4.5,1,Korean,4,5,4.8,0,0,0,1,4,0,0,0,0,0,0,0
Ajumma Kimbob Deli,43,2,2017,Arlington,4.5,1,Korean,2,2,4.5,0,0,0,1,1,0,0,0,0,0,0,0
Al Kabob Grill &amp; Cafe,5,4,2007,Arlington,4,1,"Indian,         Pakistani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Kabob Grill &amp; Cafe,5,4,2008,Arlington,4,1,"Indian,         Pakistani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Kabob Grill &amp; Cafe,5,4,2009,Arlington,4,1,"Indian,         Pakistani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Kabob Grill &amp; Cafe,5,4,2010,Arlington,4,1,"Indian,         Pakistani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Kabob Grill &amp; Cafe,5,4,2011,Arlington,4,1,"Indian,         Pakistani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Kabob Grill &amp; Cafe,5,4,2012,Arlington,4,1,"Indian,         Pakistani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Kabob Grill &amp; Cafe,5,4,2013,Arlington,4,1,"Indian,         Pakistani",0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
Al Kabob Grill &amp; Cafe,5,4,2014,Arlington,4,1,"Indian,         Pakistani",0,4,3.75,1,0,0,1,2,0,0,0,0,0,0,0
Al Kabob Grill &amp; Cafe,5,4,2015,Arlington,4,1,"Indian,         Pakistani",1,1,3,0,0,1,0,0,2,4.5,0,0,0,1,1
Al Kabob Grill &amp; Cafe,5,4,2016,Arlington,4,1,"Indian,         Pakistani",0,8,4.625,0,0,0,3,5,0,0,0,0,0,0,0
Al Kabob Grill &amp; Cafe,5,4,2017,Arlington,4,1,"Indian,         Pakistani",0,1,1,1,0,0,0,0,1,1,1,0,0,0,0
Alfredo¡¯s Pizza &amp; Pasta,6,7,2007,Arlington,3.5,1,"Pizza,         Italian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfredo¡¯s Pizza &amp; Pasta,6,7,2008,Arlington,3.5,1,"Pizza,         Italian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfredo¡¯s Pizza &amp; Pasta,6,7,2009,Arlington,3.5,1,"Pizza,         Italian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfredo¡¯s Pizza &amp; Pasta,6,7,2010,Arlington,3.5,1,"Pizza,         Italian",0,2,4.5,0,0,0,1,1,1,5,0,0,0,0,1
Alfredo¡¯s Pizza &amp; Pasta,6,7,2011,Arlington,3.5,1,"Pizza,         Italian",3,2,3.5,0,0,1,1,0,0,0,0,0,0,0,0
Alfredo¡¯s Pizza &amp; Pasta,6,7,2012,Arlington,3.5,1,"Pizza,         Italian",0,4,4.25,0,0,0,3,1,0,0,0,0,0,0,0
Alfredo¡¯s Pizza &amp; Pasta,6,7,2013,Arlington,3.5,1,"Pizza,         Italian",0,3,2.333333333,0,2,1,0,0,0,0,0,0,0,0,0
Alfredo¡¯s Pizza &amp; Pasta,6,7,2014,Arlington,3.5,1,"Pizza,         Italian",2,9,3.777777778,0,0,4,3,2,3,3,1,0,0,2,0
Alfredo¡¯s Pizza &amp; Pasta,6,7,2015,Arlington,3.5,1,"Pizza,         Italian",1,8,4,0,1,0,5,2,4,4.5,0,0,1,0,3
Alfredo¡¯s Pizza &amp; Pasta,6,7,2016,Arlington,3.5,1,"Pizza,         Italian",1,11,3.363636364,3,1,0,3,4,1,1,1,0,0,0,0
Alfredo¡¯s Pizza &amp; Pasta,6,7,2017,Arlington,3.5,1,"Pizza,         Italian",1,11,3.454545455,2,0,3,3,3,0,0,0,0,0,0,0
Ali Baba Mediterranean Grill,34,8,2007,Arlington,4,2,"Buffets,         Mediterranean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Baba Mediterranean Grill,34,8,2008,Arlington,4,2,"Buffets,         Mediterranean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Baba Mediterranean Grill,34,8,2009,Arlington,4,2,"Buffets,         Mediterranean",0,2,5,0,0,0,0,2,0,0,0,0,0,0,0
Ali Baba Mediterranean Grill,34,8,2010,Arlington,4,2,"Buffets,         Mediterranean",0,6,4.5,0,0,0,3,3,0,0,0,0,0,0,0
Ali Baba Mediterranean Grill,34,8,2011,Arlington,4,2,"Buffets,         Mediterranean",3,18,3.722222222,1,1,5,6,5,2,3,1,0,0,0,1
Ali Baba Mediterranean Grill,34,8,2012,Arlington,4,2,"Buffets,         Mediterranean",4,19,3.473684211,1,2,4,11,1,2,3.5,0,1,0,0,1
Ali Baba Mediterranean Grill,34,8,2013,Arlington,4,2,"Buffets,         Mediterranean",4,15,3.733333333,1,0,3,9,2,4,2.5,2,0,1,0,1
Ali Baba Mediterranean Grill,34,8,2014,Arlington,4,2,"Buffets,         Mediterranean",6,27,3.888888889,1,0,6,14,6,5,4.2,0,0,1,2,2
Ali Baba Mediterranean Grill,34,8,2015,Arlington,4,2,"Buffets,         Mediterranean",7,27,3.851851852,1,4,3,9,10,4,4.5,0,0,0,2,2
Ali Baba Mediterranean Grill,34,8,2016,Arlington,4,2,"Buffets,         Mediterranean",5,16,3.875,1,0,3,8,4,2,2,1,0,1,0,0
Ali Baba Mediterranean Grill,34,8,2017,Arlington,4,2,"Buffets,         Mediterranean",1,16,4.125,0,2,2,4,8,0,0,0,0,0,0,0
All Good Cafe,6,6,2007,Arlington,3.5,2,"Breakfast & Brunch,         Music Venues",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Good Cafe,6,6,2008,Arlington,3.5,2,"Breakfast & Brunch,         Music Venues",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Good Cafe,6,6,2009,Arlington,3.5,2,"Breakfast & Brunch,         Music Venues",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Good Cafe,6,6,2010,Arlington,3.5,2,"Breakfast & Brunch,         Music Venues",0,3,4,0,0,1,1,1,0,0,0,0,0,0,0
All Good Cafe,6,6,2011,Arlington,3.5,2,"Breakfast & Brunch,         Music Venues",2,15,3.6,1,1,3,8,2,0,0,0,0,0,0,0
All Good Cafe,6,6,2012,Arlington,3.5,2,"Breakfast & Brunch,         Music Venues",5,29,3.724137931,1,2,5,17,4,3,3,1,0,1,0,1
All Good Cafe,6,6,2013,Arlington,3.5,2,"Breakfast & Brunch,         Music Venues",9,39,3.615384615,3,2,9,18,7,7,3.571428571,2,0,0,2,3
All Good Cafe,6,6,2014,Arlington,3.5,2,"Breakfast & Brunch,         Music Venues",13,52,3.730769231,5,2,11,18,16,4,4.25,0,0,0,3,1
All Good Cafe,6,6,2015,Arlington,3.5,2,"Breakfast & Brunch,         Music Venues",16,45,3.4,2,6,11,24,2,14,2.214285714,8,1,0,4,1
All Good Cafe,6,6,2016,Arlington,3.5,2,"Breakfast & Brunch,         Music Venues",7,47,3.234042553,4,10,11,15,7,16,4.25,0,2,1,4,9
All Good Cafe,6,6,2017,Arlington,3.5,2,"Breakfast & Brunch,         Music Venues",3,32,2.59375,10,4,8,9,1,6,4.166666667,1,0,0,1,4
Alligator Cafe,2,7,2007,Arlington,4,2,"Cajun/Creole,         Seafood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alligator Cafe,2,7,2008,Arlington,4,2,"Cajun/Creole,         Seafood",0,0,0,0,0,0,0,0,1,4,0,0,0,1,0
Alligator Cafe,2,7,2009,Arlington,4,2,"Cajun/Creole,         Seafood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alligator Cafe,2,7,2010,Arlington,4,2,"Cajun/Creole,         Seafood",0,3,3.333333333,0,0,2,1,0,1,4,0,0,0,1,0
Alligator Cafe,2,7,2011,Arlington,4,2,"Cajun/Creole,         Seafood",0,8,4.25,0,0,0,6,2,2,5,0,0,0,0,2
Alligator Cafe,2,7,2012,Arlington,4,2,"Cajun/Creole,         Seafood",5,21,4.095238095,0,1,3,10,7,3,5,0,0,0,0,3
Alligator Cafe,2,7,2013,Arlington,4,2,"Cajun/Creole,         Seafood",4,21,3.666666667,1,2,4,10,4,2,4.5,0,0,0,1,1
Alligator Cafe,2,7,2014,Arlington,4,2,"Cajun/Creole,         Seafood",6,30,4.133333333,0,0,5,16,9,2,4.5,0,0,0,1,1
Alligator Cafe,2,7,2015,Arlington,4,2,"Cajun/Creole,         Seafood",7,51,4.137254902,0,2,8,22,19,9,3.555555556,1,2,0,3,3
Alligator Cafe,2,7,2016,Arlington,4,2,"Cajun/Creole,         Seafood",7,48,3.625,5,6,6,16,15,10,3.5,0,4,0,3,3
Alligator Cafe,2,7,2017,Arlington,4,2,"Cajun/Creole,         Seafood",2,19,2.947368421,4,4,3,5,3,5,4.4,0,1,0,0,4
Aloha Hawaiian Barbecue,8,1,2007,Arlington,4,1,"Barbeque,         Hawaiian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloha Hawaiian Barbecue,8,1,2008,Arlington,4,1,"Barbeque,         Hawaiian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloha Hawaiian Barbecue,8,1,2009,Arlington,4,1,"Barbeque,         Hawaiian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloha Hawaiian Barbecue,8,1,2010,Arlington,4,1,"Barbeque,         Hawaiian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloha Hawaiian Barbecue,8,1,2011,Arlington,4,1,"Barbeque,         Hawaiian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloha Hawaiian Barbecue,8,1,2012,Arlington,4,1,"Barbeque,         Hawaiian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloha Hawaiian Barbecue,8,1,2013,Arlington,4,1,"Barbeque,         Hawaiian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloha Hawaiian Barbecue,8,1,2014,Arlington,4,1,"Barbeque,         Hawaiian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloha Hawaiian Barbecue,8,1,2015,Arlington,4,1,"Barbeque,         Hawaiian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aloha Hawaiian Barbecue,8,1,2016,Arlington,4,1,"Barbeque,         Hawaiian",14,47,3.808510638,1,3,11,21,11,4,4.75,0,0,0,1,3
Aloha Hawaiian Barbecue,8,1,2017,Arlington,4,1,"Barbeque,         Hawaiian",7,29,4.586206897,0,0,2,8,19,0,0,0,0,0,0,0
Alounak,2,2,2007,Arlington,4.5,2,Mediterranean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alounak,2,2,2008,Arlington,4.5,2,Mediterranean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alounak,2,2,2009,Arlington,4.5,2,Mediterranean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alounak,2,2,2010,Arlington,4.5,2,Mediterranean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alounak,2,2,2011,Arlington,4.5,2,Mediterranean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alounak,2,2,2012,Arlington,4.5,2,Mediterranean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alounak,2,2,2013,Arlington,4.5,2,Mediterranean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alounak,2,2,2014,Arlington,4.5,2,Mediterranean,0,1,5,0,0,0,0,1,2,5,0,0,0,0,2
Alounak,2,2,2015,Arlington,4.5,2,Mediterranean,3,7,4.142857143,0,0,2,2,3,0,0,0,0,0,0,0
Alounak,2,2,2016,Arlington,4.5,2,Mediterranean,1,12,4.416666667,0,0,2,3,7,2,4.5,0,0,0,1,1
Alounak,2,2,2017,Arlington,4.5,2,Mediterranean,0,5,4.2,1,0,0,0,4,3,3.666666667,1,0,0,0,2
Amberjax Fish Market Grille,5,0,2007,Arlington,3.5,2,"Seafood,         Southern,         Cajun/Creole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amberjax Fish Market Grille,5,0,2008,Arlington,3.5,2,"Seafood,         Southern,         Cajun/Creole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amberjax Fish Market Grille,5,0,2009,Arlington,3.5,2,"Seafood,         Southern,         Cajun/Creole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amberjax Fish Market Grille,5,0,2010,Arlington,3.5,2,"Seafood,         Southern,         Cajun/Creole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amberjax Fish Market Grille,5,0,2011,Arlington,3.5,2,"Seafood,         Southern,         Cajun/Creole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amberjax Fish Market Grille,5,0,2012,Arlington,3.5,2,"Seafood,         Southern,         Cajun/Creole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amberjax Fish Market Grille,5,0,2013,Arlington,3.5,2,"Seafood,         Southern,         Cajun/Creole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amberjax Fish Market Grille,5,0,2014,Arlington,3.5,2,"Seafood,         Southern,         Cajun/Creole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amberjax Fish Market Grille,5,0,2015,Arlington,3.5,2,"Seafood,         Southern,         Cajun/Creole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amberjax Fish Market Grille,5,0,2016,Arlington,3.5,2,"Seafood,         Southern,         Cajun/Creole",0,2,3.5,0,1,0,0,1,0,0,0,0,0,0,0
Amberjax Fish Market Grille,5,0,2017,Arlington,3.5,2,"Seafood,         Southern,         Cajun/Creole",9,59,3.525423729,5,9,10,20,15,10,3.5,3,0,0,3,4
Angela¡¯s Cafe,3,5,2007,Arlington,3.5,1,"Breakfast & Brunch,         Mexican",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angela¡¯s Cafe,3,5,2008,Arlington,3.5,1,"Breakfast & Brunch,         Mexican",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angela¡¯s Cafe,3,5,2009,Arlington,3.5,1,"Breakfast & Brunch,         Mexican",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
